	Note ESG
RCM Technologies, Inc.	23.8
Realord Group Holdings Ltd.	14.6
Recruit Holdings Co., Ltd.	9.4
Rejlers AB	27.3
Remitly Global, Inc.	20.2
Renewi Plc	19.9
Rentokil Initial Plc	13.4
Repay Holdings Corp.	21.7
Republic Services, Inc.	18.5
Reservoir Media, Inc.	23.2
Resources Connection, Inc.	16.3
Ricardo Plc	20.9
RITES Ltd.	16.4
RMPA Services Plc	26.4
Robert Half, Inc.	10.7
Robert Walters Plc	12.8
Rollins, Inc.	18.6
Royal London Group	20.9
RWS Holdings Plc	12.9
S-1 Corp. (Korea)	23.0
S-Pool, Inc.	19.7
Sato Holdings Corp.	9.2
Sdiptech AB	19.6
Séché Environnement SA	19.6
SECOM Co., Ltd.	16.5
Securitas AB	13.9
SEEK Ltd.	11.1
Serco Group Plc	18.4
SG Fleet Group Ltd.	20.1
SGS SA	17.3
Shanghai Environment Group Co., Ltd.	25.3
Shanghai Foreign Service Holding Group Co., Ltd.	27.2
Shenyang Jinbei Automotive Co., Ltd.	13.8
Shenzhen Comix Group Co., Ltd.	14.4
Shenzhen Fortune Trend Technology Co. Ltd.	27.0
Shenzhen Jinjia Group Co., Ltd.	11.4
SIGMAXYZ Holdings, Inc.	24.9
Sims Ltd.	12.6
SIS Ltd. (India)	23.0
Smart Metering Systems Plc	12.1
Smartgroup Corp. Ltd.	11.5
SOHGO SECURITY SERVICES CO., LTD.	18.0
Soho House & Co., Inc.	22.4
SP Plus Corp.	22.6
SPIE SA	8.6
Sporton International Inc.	18.2
Stagwell, Inc.	19.6
Steelcase, Inc.	7.7
Stericycle, Inc.	24.6
SThree Plc	9.2
StorageVault Canada, Inc.	24.7
Studsvik AB	21.7
Suez SA	21.6
Sungeel Hitech Co., Ltd.	30.5
Sunny Friend Environmental Technology Co., Ltd.	20.2
Suzhou Gold Mantis Construction & Decoration Co., Ltd.	23.7
Suzhou NanoMicro Technology Co. Ltd.	24.9
Suzhou Recodeal Interconnect System Co., Ltd.	27.5
Taiwan Secom Co., Ltd.	19.6
Taiwan Shin Kong Security Co., Ltd.	18.6
TANSEISHA Co., Ltd.	24.7
TaskUs, Inc.	20.5
TeamLease Services Ltd.	11.4
Techem Verwaltungsgesellschaft 671 mbH	9.7
TechnoPro Holdings, Inc.	9.2
Teleperformance SE	13.1
Tetra Tech, Inc.	14.1
The Brink's Co.	24.7
The GEO Group, Inc.	21.7
The Wrekin Housing Group Ltd.	23.0
Thoughtworks Holding, Inc.	18.2
Tianjin Capital Environmental Protection Group Co., Ltd.	29.0
Tinexta SpA	18.0
TKP Corp.	28.3
TMF Group BV	20.7
TOPPAN Holdings, Inc.	7.8
TransUnion	19.4
TRE Holdings Corp.	23.6
Tres Tentos Agroindustrial SA	21.9
TRG Pakistan Ltd.	13.6
TriNet Group, Inc.	10.3
Triton International Ltd.	17.1
TrueBlue, Inc.	13.0
TRYT, Inc.	24.3
Uchida Yoko Co., Ltd.	10.4
UniFirst Corp.	20.0
Usiminas Internacional-Servicos de Assessoria Sociedade	26.5
UT Group Co., Ltd.	10.4
V2X, Inc.	21.5
Verisk Analytics, Inc.	16.3
Verve Therapeutics, Inc.	23.6
Vestis Corp.	21.8
Viad Corp.	16.0
Vigil Neuroscience, Inc.	22.4
Visional, Inc.	14.9
VSE Corp.	19.8
W.A.G. Payment Solutions Plc	19.0
Waste Connections, Inc.	22.0
Waste Management, Inc.	18.6
WDB Holdings Co., Ltd.	15.4
Weathernews, Inc.	21.0
Willdan Group, Inc.	23.3
WillScot Holdings Corp.	19.7
Wise Group AB	14.2
World Holdings Co., Ltd.	16.1
WuXi XDC Cayman, Inc.	14.2
YouGov Plc	15.3
Zhefu Holding Group Co., Ltd.	22.7
Zhejiang Weiming Environment Protection Co., Ltd.	27.9
