	Note ESG
Crosslinx Transit Solutions GP	32.0
CryoPort, Inc.	24.9
CSX Corp.	21.1
CTS International Logistics Corp. Ltd.	26.2
CTT - Correios de Portugal SA	16.1
D/S Norden A/S	24.0
Danaos Corp.	20.4
Daqin Railway Co., Ltd.	32.0
Daseke, Inc.	20.9
Delhivery Ltd.	22.6
Delta Air Lines, Inc.	30.4
Deppon Logistics Co., Ltd.	26.7
Deutsche Bahn AG	22.0
Deutsche Lufthansa AG	26.0
Deutsche Post AG	13.1
DFDS A/S	20.2
DSV A/S	11.9
Eagle Bulk Shipping, Inc.	21.4
East Japan Railway Co.	32.5
Eastern Air Logistics Co., Ltd.	22.6
easyJet Plc	21.4
eHi Car Services Ltd.	21.5
Eimskipafelag Islands hf	21.9
Empresa de los Ferrocarriles del Estado	24.4
Empresa de Transporte de Pasajeros Metro SA	21.4
EVA Airways Corp.	18.0
Evergreen International Storage & Transport Corp.	16.9
Evergreen Marine Corp. (Taiwan) Ltd.	19.4
Eversholt Rail Ltd.	31.9
Exchange Income Corp.	28.0
Expeditors International of Washington, Inc.	18.4
Farglory Free Trade Zone Investment Holding Co., Ltd.	20.3
Federal Express Corp.	16.1
FedEx Corp.	19.0
Ferrovie dello Stato Italiane SpA	23.4
Finnair Oyj	24.6
First Steamship Co., Ltd.	23.2
FirstGroup Plc	14.3
Forward Air Corp.	21.3
Freightways Group Ltd.	20.1
Frontier Group Holdings, Inc.	38.9
Fukuyama Transporting Co., Ltd.	21.9
Gateway Distriparks Ltd.	28.1
Genco Shipping & Trading Ltd.	25.4
Global Ship Lease, Inc.	25.0
GMéxico Transportes SAB de CV	24.6
GOL Linhas Aéreas Inteligentes SA	31.4
Golden Ocean Group Ltd.	23.3
Gram Car Carriers ASA	22.5
Grindrod Ltd.	19.7
Grupo Aeroméxico SAB de CV	26.6
Grupo Traxión SAB de CV	19.3
Guangshen Railway Co., Ltd.	34.9
Guangzhou Port Co., Ltd.	27.4
Gulf Warehousing Co.	21.8
GXO Logistics, Inc.	19.8
Hafnia Ltd.	19.3
Hainan Airlines Holding Co., Ltd.	35.6
Hainan Strait Shipping Co., Ltd.	24.9
Hamakyorex Co., Ltd.	21.9
HANJIN KAL Corp.	34.8
HANJIN TRANSPORTATION Co., Ltd.	20.2
Hankyu Hanshin Holdings, Inc.	27.4
Hapag-Lloyd AG	17.0
Hawaiian Holdings, Inc.	33.9
Heartland Express, Inc.	20.4
Hertz Global Holdings, Inc.	17.3
Hidrovias do Brasil SA	22.8
Himalaya Shipping Ltd.	26.5
HMM Co., Ltd.	15.5
Höegh Autoliners ASA	23.4
Hub Group, Inc.	21.7
Hyundai GLOVIS Co., Ltd.	16.0
Icelandair Group hf	34.1
ID Logistics Group	24.7
Iino Kaiun Kaisha, Ltd.	23.9
Île-de-France Mobilités	21.5
InPost SA	16.1
InterGlobe Aviation Ltd.	30.5
International Consolidated Airlines Group SA	24.8
International Distribution Services Plc	15.6
Irish Continental Group Plc	22.5
J.B. Hunt Transport Services, Inc.	14.3
James Fisher & Sons Plc	20.6
Japan Airlines Co., Ltd.	27.7
Japan Transcity Corp.	26.1
Jazeera Airways Co. K.S.C.	29.8
JD Logistics, Inc.	22.2
JEJUAIR CO., LTD.	39.1
Jet2 Plc	40.7
JetBlue Airways Corp.	30.4
Jiayou International Logistics Co., Ltd.	28.0
JIN AIR Co., Ltd.	32.5
Juneyao Airlines Co., Ltd.	34.0
Jungfraubahn Holding AG	32.1
Kanagawa Chuo Kotsu Co., Ltd.	23.1
Kawasaki Kisen Kaisha, Ltd.	18.7
Keikyu Corp.	29.7
Keio Corp.	29.1
Keisei Electric Railway Co., Ltd.	30.8
Kelsian Group Ltd.	11.9
Kerry Logistics Network Ltd.	23.3
Kerry TJ Logistics Co., Ltd.	17.1
Kirby Corp.	20.4
Klaveness Combination Carriers AS	22.6
Knight-Swift Transportation Holdings, Inc.	18.1
Konoike Transport Co., Ltd.	22.9
Korea Line Corp.	23.4
Korean Air Lines Co., Ltd.	20.6
Kühne + Nagel International AG	13.9
Kyushu Railway Co.	26.6
La Poste SA	15.1
Landstar System, Inc.	19.3
LATAM Airlines Group SA	27.9
LeasePlan Corp. NV	15.7
Localiza Rent A Car SA	10.4
Log-In Logistica Intermodal SA	22.5
Logista Integral SA	15.9
Mainfreight Ltd.	22.4
Marten Transport Ltd.	19.3
Maruzen Showa Unyu Co., Ltd.	17.4
Matson, Inc.	18.7
Mercator Ltd.	29.7
Metro de Lima Linea 2 SA	32.5
Milkyway Intelligent Supply Chain Service Group Co., Ltd.	17.4
Mitsubishi Logistics Corp.	23.2
Mitsui O.S.K. Lines, Ltd.	15.5
MITSUI-SOKO HOLDINGS Co., Ltd.	21.7
MMA Offshore Ltd.	20.4
Mobico Group Plc	16.5
Movida Participaçoes SA	15.5
MPC Container Ships ASA	25.2
MTR Corp. Ltd.	19.6
Mullen Group Ltd.	18.4
Municipal Finance Authority of British Columbia	31.4
Nagoya Railroad Co., Ltd.	30.9
Nanjing Tanker Corp.	28.7
Nankai Electric Railway Co., Ltd.	26.2
Network Rail Infrastructure Ltd.	25.5
Newcastle Coal Infrastructure Group Pty Ltd.	11.8
NIKKON Holdings Co., Ltd.	19.9
Nippon Express Holdings, Inc.	20.9
Nippon Yusen KK	17.3
Nishi-Nippon Railroad Co., Ltd.	34.7
Nissin Corp.	23.3
Norfolk Southern Corp.	23.3
Norwegian Air Shuttle ASA	35.8
NS United Kaiun Kaisha, Ltd.	24.4
NTG Nordic Transport Group A/S	19.6
ÖBB-Infrastruktur AG	18.3
Ocean Laurel Co. Ltd.	26.9
Odakyu Electric Railway Co., Ltd.	33.2
Odfjell SE	19.3
Old Dominion Freight Line, Inc.	15.9
Orient Overseas (International) Ltd.	19.5
Österreichische Post AG	16.4
P.A.M. Transportation Services, Inc.	24.6
Pacific Basin Shipping Ltd.	15.5
Pacific National Holdings Pty Ltd.	23.6
Pan Ocean Co., Ltd.	22.6
Pangaea Logistics Solutions Ltd.	24.8
Park-Ohio Holdings Corp.	27.7
Pegasus Hava Tasimaciligi AS	26.8
Penske Truck Leasing Co. LP	18.0
PKP Cargo SA	35.1
Port of Brisbane Pty Ltd.	20.0
Porterbrook Rail Finance Ltd.	27.9
PostNL NV	16.5
Precious Shipping Public Co., Ltd.	17.9
Prima Marine Public Co. Ltd.	22.8
Primafrio Sl	12.9
PT Adi Sarana Armada Tbk	20.8
PT Grahaprima Suksesmandiri Tbk	21.0
PT RMK Energy Tbk	22.7
PT Samudera Indonesia Tbk	20.7
PT Transcoal Pacific Tbk	25.0
Qantas Airways Ltd.	27.5
Qatar Gas Transport Co.	21.5
Qatar Navigation QPSC	27.4
Radiant Logistics, Inc.	24.7
Régie Autonome des Transports Parisiens EPIC	16.5
Regional Container Lines Public Co. Ltd.	25.7
Reysas Tasimacilik Ve Lojistik Ticaret AS	24.5
RUMO SA	26.5
RXO, Inc.	20.7
Ryanair Holdings Plc	22.8
Ryder System, Inc.	15.2
S.F. Holding Co., Ltd.	18.9
Safe Bulkers, Inc.	24.7
Saia, Inc.	17.6
Sakai Moving Service Co., Ltd.	21.8
Sankyu, Inc.	26.1
Sanyo Electric Railway Co., Ltd.	32.8
SAS AB	30.2
SBS Holdings, Inc.	23.4
SCGJWD Logistics PCL	23.8
Schneider National, Inc.	17.4
Seaspan Corp.	20.5
Seino Holdings Co., Ltd.	17.8
SENKO Group Holdings Co., Ltd.	19.3
SG Holdings Co., Ltd.	19.6
Shanghai Zhonggu Logistics Co., Ltd.	22.7
Shenzhen Heungkong Holding Co., Ltd.	28.8
Simpar SA	17.1
Sincere Navigation Corp.	25.5
Singapore Airlines Ltd.	24.1
Singapore Post Ltd.	24.7
Sinotrans Ltd.	25.1
SITC International Holdings Co., Ltd.	23.2
Sixt SE	14.8
SkyWest, Inc.	31.3
Société Nationale SNCF	20.9
South Coast British Columbia Transportation Authority	18.7
Southwest Airlines Co.	28.4
Spirit Airlines, Inc.	33.8
Spring Airlines Co., Ltd.	38.7
Stagecoach Group Ltd.	16.1
Star Bulk Carriers Corp.	18.4
STEF	15.2
STO Express Co., Ltd.	29.4
Stolt-Nielsen Ltd.	21.2
Sumitomo Warehouse Co., Ltd.	23.7
Sun Country Airlines Holdings, Inc.	34.2
T3EX Global Holdings Corp.	22.5
Taiwan High Speed Rail Corp.	18.0
TCI Express Ltd.	21.9
TFI International, Inc.	20.1
The Great Rolling Stock Co. Plc	26.6
The Shibusawa Warehouse Co., Ltd.	23.4
The Shipping Corp. of India Ltd.	25.0
Thoresen Thai Agencies Public Co. Ltd.	18.3
Tobu Railway Co., Ltd.	33.2
Tokyu Corp.	27.9
Tonami Holdings Co., Ltd.	21.9
TRANCOM Co., Ltd.	20.0
Transnet SOC Ltd.	30.0
Transport for London	16.0
Transport Trade Services SA	21.3
Transportes Aéreos Portugueses S.A.	23.0
Türk Hava Yollari AO	22.0
TuSimple Holdings, Inc.	22.8
TVS Supply Chain Solutions Ltd.	24.8
U-Haul Holding Co.	23.8
U-Ming Marine Transport Corp.	22.4
Union Pacific Corp.	20.0
United Airlines Holdings, Inc.	27.0
United Airlines, Inc.	33.1
United International Transportation Co. Ltd.	19.1
United Parcel Service, Inc.	18.9
Universal Logistics Holdings, Inc.	25.4
Veridis Environment Ltd.	24.5
VRL Logistics Ltd.	22.8
WALLENIUS WILHELMSEN ASA	19.7
Wan Hai Lines Ltd.	15.9
Werner Enterprises, Inc.	18.6
West Japan Railway Co.	27.2
Wilh. Wilhelmsen Holding ASA	21.3
Wincanton Plc	16.1
Wisdom Marine Lines Co. Ltd.	23.2
Wizz Air Holdings Plc	27.7
Xiamen International Trade Group Corp. Ltd.	25.4
XPO, Inc.	23.2
Yamato Holdings Co., Ltd.	19.8
Yang Ming Marine Transport Corp.	20.5
YTO Express Group Co., Ltd.	25.9
Yunda Holding Co., Ltd.	28.2
Zigup Plc	17.8
ZIM Integrated Shipping Services Ltd.	19.3
ZTO Express (Cayman), Inc.	21.6
